id,cx,cy,frames,detections,top_class,avg_score
2285,1080.0,657.8181818181819,10,11,unknown,0.0
2286,1169.5,442.25,3,4,unknown,0.0
2287,1151.5,338.5,4,4,unknown,0.0
2288,1163.0,697.0,1,2,unknown,0.0
2289,1160.6666666666667,602.3333333333334,3,3,unknown,0.0
2290,1190.0,252.5,2,2,unknown,0.0
2291,34.0,183.0,2,2,unknown,0.0
2292,34.0,118.66666666666667,3,3,unknown,0.0
2293,57.666666666666664,152.33333333333334,3,3,unknown,0.0
2294,73.25,357.5,4,4,unknown,0.0
2295,81.5,134.0,2,2,unknown,0.0
2296,133.8,380.2,4,5,unknown,0.0
2297,157.5,456.0,3,4,unknown,0.0
2298,186.66666666666666,141.33333333333334,1,3,unknown,0.0
2299,173.8181818181818,126.18181818181819,9,11,unknown,0.0
2300,179.5,115.5,1,2,unknown,0.0
2301,186.66666666666666,477.3333333333333,2,3,unknown,0.0
2302,177.0,495.6666666666667,3,3,unknown,0.0
2303,202.0,450.4,4,5,unknown,0.0
2304,217.25,64.5,4,4,unknown,0.0
2305,238.66666666666666,567.0,3,3,unknown,0.0
2306,247.25,449.5,4,4,unknown,0.0
2307,244.5,131.0,2,2,unknown,0.0
2308,234.0,100.18181818181819,9,11,unknown,0.0
2309,267.5,506.0,6,8,unknown,0.0
2310,278.5,16.25,4,4,unknown,0.0
2311,281.0,618.5,2,2,unknown,0.0
2312,304.5,100.5,2,2,unknown,0.0
2313,306.0,343.0,2,2,unknown,0.0
2314,377.54545454545456,545.7272727272727,11,11,unknown,0.0
2315,382.0,409.0,2,2,unknown,0.0
2316,390.6666666666667,95.5,9,12,unknown,0.0
2317,401.0,509.6666666666667,3,3,unknown,0.0
2318,401.6666666666667,112.0,2,3,unknown,0.0
2319,437.375,73.75,6,8,unknown,0.0
2320,428.0,500.0,2,2,unknown,0.0
2321,446.5,403.5,2,2,unknown,0.0
2322,448.0,622.5,2,2,unknown,0.0
2323,457.3333333333333,90.66666666666667,2,3,unknown,0.0
2324,462.0,501.5,2,2,unknown,0.0
2325,481.5,571.5,2,2,unknown,0.0
2326,473.6666666666667,464.0,3,3,unknown,0.0
2327,484.5,371.0,2,2,unknown,0.0
2328,485.25,95.5,4,4,unknown,0.0
2329,488.5,509.5,2,2,unknown,0.0
2330,489.0,43.333333333333336,3,3,unknown,0.0
2331,510.6666666666667,350.6666666666667,2,3,unknown,0.0
2332,520.0,83.25,4,4,unknown,0.0
2333,539.4,598.0,5,5,unknown,0.0
2334,544.2,99.4,5,5,unknown,0.0
2335,582.0,359.0,3,3,unknown,0.0
2336,592.5,2.5,2,2,unknown,0.0
2337,588.6666666666666,44.333333333333336,3,3,unknown,0.0
2338,644.25,646.5,4,4,unknown,0.0
2339,664.25,334.0,3,4,unknown,0.0
2340,660.1428571428571,81.57142857142857,6,7,unknown,0.0
2341,669.0,389.0,3,4,unknown,0.0
2342,687.5,338.0,2,2,unknown,0.0
2343,686.0,51.6,5,5,unknown,0.0
2344,719.3333333333334,372.3333333333333,3,3,unknown,0.0
2345,760.75,374.75,3,4,unknown,0.0
2346,775.6666666666666,452.0,3,3,unknown,0.0
2347,789.7777777777778,622.8888888888889,9,9,unknown,0.0
2348,801.0,23.666666666666668,2,3,unknown,0.0
2349,816.6666666666666,376.3333333333333,3,3,unknown,0.0
2350,906.3333333333334,497.0,3,3,unknown,0.0
2351,930.3333333333334,545.0,12,15,unknown,0.0
2352,928.8,490.6,4,5,unknown,0.0
2353,933.5,322.5,2,2,unknown,0.0
2354,955.0,481.0,2,2,unknown,0.0
2355,965.5,573.25,4,4,unknown,0.0
2356,994.0,539.3,9,10,unknown,0.0
2357,1007.4,368.0,4,5,unknown,0.0
2358,1011.5,419.5,2,2,unknown,0.0
2359,1058.5,331.0,2,2,unknown,0.0
2360,1070.0666666666666,592.4666666666667,12,15,unknown,0.0
2361,1081.0,327.6666666666667,3,3,unknown,0.0
2362,1084.0,367.0,2,2,unknown,0.0
2363,1102.8,598.2,4,5,unknown,0.0
2364,1097.75,525.0,4,4,unknown,0.0
2365,1110.0,336.0,2,2,unknown,0.0
2366,1115.25,662.5,4,4,unknown,0.0
2367,1125.5,471.0,2,2,unknown,0.0
2368,1192.6666666666667,376.6666666666667,2,3,unknown,0.0
2369,1190.4,343.6,4,5,unknown,0.0
2370,1216.6666666666667,523.0,3,3,unknown,0.0
2371,3.25,297.5,4,4,unknown,0.0
2372,11.333333333333334,408.0,3,3,unknown,0.0
2373,32.285714285714285,147.14285714285714,5,7,unknown,0.0
2374,74.0,500.92857142857144,11,14,unknown,0.0
2375,41.5,361.5,2,2,unknown,0.0
2376,62.75,3.75,3,4,unknown,0.0
2377,49.5,425.5,2,2,unknown,0.0
2378,69.0,315.0,1,2,unknown,0.0
2379,76.5,510.0,2,2,unknown,0.0
2380,102.5,5.0,2,2,unknown,0.0
2381,174.66666666666666,439.0,3,3,unknown,0.0
2382,186.625,4.5,8,8,unknown,0.0
2383,231.0,470.0,3,3,unknown,0.0
2384,245.0,15.8,4,5,unknown,0.0
